"plate"	"row"	"column"	"sample_type"	"sample"	"sample_name"	"concentration"	"dilution"	"time"	"replicate"	"treatment"	"cell_line"	"HGF"	"dilSeriesID"
1	G	11	measurement	A549_25ng_ml	A549_25ng_ml_rep3_60	1.3	1	60	3	25ng_ml	A549	25	A549
1	G	12	measurement	A549_50ng_ml	A549_50ng_ml_rep1_60	1.3	1	60	1	50ng_ml	A549	50	A549
1	G	13	measurement	A549_50ng_ml	A549_50ng_ml_rep2_60	1	1	60	2	50ng_ml	A549	50	A549
1	G	14	measurement	A549_50ng_ml	A549_50ng_ml_rep3_60	1.3	1	60	3	50ng_ml	A549	50	A549
1	H	3	measurement	A549_75ng_ml	A549_75ng_ml_rep1_60	1.3	1	60	1	75ng_ml	A549	75	A549
1	H	4	measurement	A549_75ng_ml	A549_75ng_ml_rep2_60	1	1	60	2	75ng_ml	A549	75	A549
1	H	5	measurement	A549_75ng_ml	A549_75ng_ml_rep3_60	1.3	1	60	3	75ng_ml	A549	75	A549
1	H	6	measurement	A549_100ng_ml	A549_100ng_ml_rep1_60	1.3	1	60	1	100ng_ml	A549	100	A549
1	H	7	measurement	A549_100ng_ml	A549_100ng_ml_rep2_60	1	1	60	2	100ng_ml	A549	100	A549
1	H	8	measurement	A549_100ng_ml	A549_100ng_ml_rep3_60	1.3	1	60	3	100ng_ml	A549	100	A549
1	H	9	measurement	A549_0ng_ml	A549_0ng_ml_rep1_120	1.3	1	120	1	0ng_ml	A549	0	A549
1	H	10	measurement	A549_0ng_ml	A549_0ng_ml_rep2_120	1	1	120	2	0ng_ml	A549	0	A549
1	H	11	measurement	A549_0ng_ml	A549_0ng_ml_rep3_120	1.3	1	120	3	0ng_ml	A549	0	A549
1	H	12	measurement	A549_10ng_ml	A549_10ng_ml_rep1_120	1.3	1	120	1	10ng_ml	A549	10	A549
1	H	13	measurement	A549_10ng_ml	A549_10ng_ml_rep2_120	1	1	120	2	10ng_ml	A549	10	A549
1	H	14	measurement	A549_10ng_ml	A549_10ng_ml_rep3_120	1.3	1	120	3	10ng_ml	A549	10	A549
1	I	3	measurement	A549_25ng_ml	A549_25ng_ml_rep1_120	1.3	1	120	1	25ng_ml	A549	25	A549
1	I	4	measurement	A549_25ng_ml	A549_25ng_ml_rep2_120	1	1	120	2	25ng_ml	A549	25	A549
1	I	5	measurement	A549_25ng_ml	A549_25ng_ml_rep3_120	1.3	1	120	3	25ng_ml	A549	25	A549
1	I	6	measurement	A549_50ng_ml	A549_50ng_ml_rep1_120	1.3	1	120	1	50ng_ml	A549	50	A549
1	I	7	measurement	A549_50ng_ml	A549_50ng_ml_rep2_120	1	1	120	2	50ng_ml	A549	50	A549
1	I	8	measurement	A549_50ng_ml	A549_50ng_ml_rep3_120	1.3	1	120	3	50ng_ml	A549	50	A549
1	I	9	measurement	A549_75ng_ml	A549_75ng_ml_rep1_120	1.3	1	120	1	75ng_ml	A549	75	A549
1	I	10	measurement	A549_75ng_ml	A549_75ng_ml_rep2_120	1	1	120	2	75ng_ml	A549	75	A549
1	I	11	measurement	A549_75ng_ml	A549_75ng_ml_rep3_120	1.3	1	120	3	75ng_ml	A549	75	A549
1	I	12	measurement	A549_100ng_ml	A549_100ng_ml_rep1_120	1.3	1	120	1	100ng_ml	A549	100	A549
1	I	13	measurement	A549_100ng_ml	A549_100ng_ml_rep2_120	1	1	120	2	100ng_ml	A549	100	A549
1	I	14	measurement	A549_100ng_ml	A549_100ng_ml_rep3_120	1.3	1	120	3	100ng_ml	A549	100	A549
1	J	3	control	A549_noHGF	A549_noHGF_dil1_0	2	1	0	1	0ng_ml	A549	0	NA
1	J	4	control	A549_noHGF	A549_noHGF_dil2_0	1	0.5	0	1	0ng_ml	A549	0	NA
1	J	5	control	A549_noHGF	A549_noHGF_dil3_0	0.5	0.25	0	1	0ng_ml	A549	0	NA
1	J	6	control	A549_noHGF	A549_noHGF_dil4_0	0.25	0.125	0	1	0ng_ml	A549	0	NA
1	J	7	control	A549_noHGF	A549_noHGF_dil5_0	0.125	0.0625	0	1	0ng_ml	A549	0	NA
1	J	8	control	A549_noHGF	A549_noHGF_dil6_0	0.0625	0.03125	0	1	0ng_ml	A549	0	NA
1	J	9	control	A549_HGF	A549_HGF_dil1_10	2	1	0	1	75ng_ml	A549	75	A549
1	J	10	control	A549_HGF	A549_HGF_dil2_10	1	0.5	0	1	75ng_ml	A549	75	A549
1	J	11	control	A549_HGF	A549_HGF_dil3_10	0.5	0.25	0	1	75ng_ml	A549	75	A549
1	J	12	control	A549_HGF	A549_HGF_dil4_10	0.25	0.125	0	1	75ng_ml	A549	75	A549
1	J	13	control	A549_HGF	A549_HGF_dil5_10	0.125	0.0625	0	1	75ng_ml	A549	75	A549
1	J	14	control	A549_HGF	A549_HGF_dil6_10	0.0625	0.03125	0	1	75ng_ml	A549	75	A549
